"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Негативные тесты API бронирований","Доступ без авторизации (неверный/пустой токен)","0","0","12","0","0"
"","Негативные тесты API бронирований","Создание бронирования с невалидными данными","7","0","6","0","0"
"","Негативные тесты API бронирований","Операции над несуществующим бронированием","0","0","4","0","0"
"","Управление бронированиями","Получение списка всех бронирований","0","0","1","0","0"
"","Управление бронированиями","Получение бронирования по ID","0","0","1","0","0"
"","Управление бронированиями","Частичное обновление бронирования (PATCH)","0","0","1","0","0"
"","Управление бронированиями","Создание бронирования","0","0","1","0","0"
"","Управление бронированиями","Удаление бронирования","0","0","1","0","0"
"","Управление бронированиями","Полное обновление бронирования (PUT)","0","0","1","0","0"
